Site,Adult.Seedling,Elevation.code,Species,Individual.code,Lat.DD,Long.DD,Collection.date,Collection.day,Elevation,Soil.temp.1,Soil.temp.2,Soil.temp.3,Soil.temp.mean,Soil.temp.SD,Soil.mois.1,Soil.mois.2,Soil.mois.3,Soil.mois.mean,Soil.mois.SD,No.leaves,No.cot,Height.cm,Height.mm,Width.mm,Stem.volume.mm3,Stem.volume.cm3,Stem.thick.per.height,L.time,L.temp,L.light,QPSII,D.time,D.temp,D.light,D.FvFm,Canopy.open.per,LAI.4.ring,SPAD.1,SPAD.2,SPAD.3,SPAD.mean,SPAD.SD,Leaf.thick.1.mm,Leaf.thick.2.mm,Leaf.thick.3.mm,Leaf.thick.mean.mm,Leaf.thick.SD,Leaf.mass.fresh.g,Leaf.mass.FAA.g,Leaf.mass.dry.g,Leaf.area,Comp.Y.N.,Comp.seed.same.sp,Comp.seed.diff.sp,Comp.seed.total,Comp.adult.total,Comp.adult.metric,Comp.adult.log.metric,Height.leaf.ratio
TU8,Seedling,Bottom,SP,222,-13.07038889,-71.55583333,01/08/2015,10,1841,17.1,16.1,16.9,16.7,0.52915,30.7,20.5,12.5,21.23333333,9.122134253,22,0,77,770,2.509,3806.991693,3.806991693,0.032584416,10:09:00,20.4,26,0.748355263,12:39:00,18.8,0,0.733944954,6.07,3.26,49.7,48.4,51.8,49.96666667,1.715614564,0.191,0.204,0.215,0.203333333,0.012013881,0.413,0.441,0.18,50.651,Y,0,30,30,5,17.01408734,1.230808658,0.285714286
TU8,Seedling,Top,TG,210,-13.07008333,-71.55572222,01/08/2015,10,1845,16.5,16.6,16.8,16.63333333,0.152753,6.7,3.4,5.1,5.066666667,1.650252506,4,1,21,210,1.541,391.6647202,0.39166472,0.073380952,10:18:00,19.6,9,0.666136092,15:51:00,19.6,0,0.710106383,6.08,3.47,26.8,27.6,35.8,30.06666667,4.981298358,0.115,0.127,0.113,0.118333333,0.007571878,0.092,0.103,0.03,6.509,N,NA,NA,NA,NA,NA,NA,0.19047619
TU8,Seedling,Top,TG,208,-13.06983333,-71.55533333,01/08/2015,10,1846,15.7,15.9,17.3,16.3,0.87178,9.9,5,10.5,8.466666667,3.01717307,4,1,21,210,1.56,401.3824438,0.401382444,0.074285714,10:50:00,19.6,31,0.744379684,16:28:00,18.9,0,0.74204947,3.98,4.13,39.3,37.3,37.5,38.03333333,1.101514109,0.195,0.155,0.104,0.151333333,0.045610671,0.104,0.097,0.032,13.317,Y,0,36,36,4,17.01216428,1.230759568,0.19047619
TU8,Seedling,Top,TG,181,-13.07011111,-71.55569444,01/08/2015,10,1846,17.1,17.1,17.2,17.13333333,0.057735,6.8,11.1,10.1,9.333333333,2.250185178,5,1,20,200,1.835,528.9224661,0.528922466,0.09175,08:48:00,17.1,2,0.737645641,10:16:00,19.7,0,0.630522088,5.33,3.38,37.2,35.1,38.6,36.96666667,1.761628035,0.109,0.094,0.107,0.103333333,0.008144528,0.057,0.076,0.016,6.582,N,NA,NA,NA,NA,NA,NA,0.25
TU8,Seedling,Bottom,HG,252,-13.07044444,-71.55605556,02/08/2015,11,1848,19,18.2,17.5,18.23333333,0.750555,19.1,13.2,7.3,13.2,5.9,6,1,26,260,2.417,1192.934312,1.192934312,0.092961538,11:59:00,22.7,66,0.755625327,14:44:00,22.9,0,0.441534989,5.84,3.76,34.1,37.2,34.1,35.13333333,1.789785834,0.274,0.26,0.246,0.26,0.014,0.169,0.161,0.038,17.5,Y,2,38,40,3,13.29494593,1.123686575,0.230769231
TU8,Seedling,Bottom,SP,219,-13.07030556,-71.55586111,01/08/2015,10,1849,16.1,16.3,16.3,16.23333333,0.11547,20.6,32.4,24.8,25.93333333,5.981081285,33,0,97,970,5.446,22595.23641,22.59523641,0.05614433,09:14:00,18.7,20,0.775961538,10:25:00,21,0,0.803397028,5.98,3.93,40.2,41,46.1,42.43333333,3.200520791,0.182,0.187,0.207,0.192,0.013228757,0.886,1.051,0.317,51.369,Y,2,31,33,3,10.67017826,1.028171675,0.340206186
TU8,Seedling,Bottom,SP,220,-13.07038889,-71.55586111,01/08/2015,10,1849,18.6,18.5,18.8,18.63333333,0.152753,17.7,17.5,15.9,17.03333333,0.986576572,10,0,82,820,6.638,28377.76774,28.37776774,0.08095122,09:25:00,19.6,49,0.722063037,10:28:00,22.5,0,0.780892449,6.62,3.97,40.7,38.2,41.8,40.23333333,1.844812547,0.306,0.309,0.327,0.314,0.011357817,0.686,0.588,0.174,38.16,Y,0,46,46,3,8.965562283,0.952577532,0.12195122
TU8,Seedling,Bottom,SP,233,-13.07038889,-71.55591667,01/08/2015,10,1859,18,18.1,18.5,18.2,0.264575,8.8,14.4,7,10.06666667,3.85918817,3,1,19,190,4.594,3149.382892,3.149382892,0.241789474,12:13:00,18.3,13,0.778121775,13:05:00,18.9,0,0.8205,6.03,3.41,38,35.6,39.8,37.8,2.107130751,0.233,0.197,0.197,0.209,0.02078461,0.189,0.182,0.048,43.556,N,NA,NA,NA,NA,NA,NA,0.157894737
TU8,Seedling,Bottom,HG,253,-13.07058333,-71.55583333,02/08/2015,11,1860,18,18.3,18.2,18.16666667,0.152753,8.1,10.6,9.1,9.266666667,1.258305739,8,0,84,840,3.739,9223.16754,9.22316754,0.044511905,12:10:00,22.5,35,0.770062607,14:47:00,22.3,0,0.796610169,4.51,3.8,39.3,39,44.7,41,3.207802986,0.253,0.266,0.294,0.271,0.020952327,0.297,0.292,0.068,41.046,Y,4,45,49,2,9.599408721,0.982244483,0.095238095
TU8,Seedling,Bottom,CR,287,-13.07094444,-71.55597222,03/08/2015,12,1860,19.8,19.1,19.8,19.56666667,0.404145,20,12.9,7.1,13.33333333,6.460908089,9,1,47,470,2.844,2985.705192,2.985705192,0.060510638,15:18:00,20.5,9,0.702510917,15:39:00,20.8,0,0.714119698,7.59,2.97,33,33.6,33.6,33.4,0.346410162,0.097,0.114,0.108,0.106333333,0.008621678,0.054,NA,NA,11.415,Y,1,35,36,5,24.92481819,1.396631999,0.191489362
